word,AutomateTime,isThereAWordAutomate,KMPTime,isThereAWordKMP,egrepTime,isThereAWordEgrep
Sagron,1196,false,66,false,10,true
Sagon,654,false,34,false,4,true
S(a|g|r)+on,703,true,60,false,5,true
S(a|g|r)*on,618,true,62,false,8,true
(S|s)(a|g|r)+on,797,true,76,false,5,true
(S|s)(ag|ro|gr)+on,699,false,85,false,5,true
(S|s)((ag|gr))*on,756,true,99,false,5,true
(S(a|g|r)*o)+n,653,true,69,false,7,true
(S|s)((a|r)|(g|r))on,708,false,92,false,5,true
S(ag|gr)+on,748,false,54,false,4,true
(S|s)((ag|gr)+|on)+,696,true,84,false,6,true
S(a(g|r)+)+on,648,true,77,false,5,true
(S|s)((a|g|r)+(on|g)+)+,777,true,91,false,6,true
